feature_id,data_score,data_rank,cv_mean_oriented_auc,cv_sd_oriented_effect
F000001,0.0,0.35527638190954774,0.6666666666666666,0.6666666666666667
F000002,0.0,0.35527638190954774,0.26388888888888884,0.4110735718596873
F000003,0.0,0.35527638190954774,0.26388888888888884,0.4110735718596873
F000004,0.0,0.35527638190954774,0.5555555555555556,0.5091750772173156
F000005,0.4730936953723087,0.9796482412060301,0.7916666666666667,0.22047927592204927
F000006,0.17065537609580494,0.857286432160804,0.7777777777777777,0.769800358919501
F000007,0.17322570474349053,0.8650753768844222,0.6805555555555556,0.37577081273524116
F000008,0.1564584167334001,0.8407035175879397,0.7083333333333334,0.5204164998665332
F000009,0.36310546582568015,0.9542713567839196,0.7777777777777777,0.3849001794597506
F000010,0.0,0.35527638190954774,0.19444444444444442,0.3469443332443554
F000011,0.32312508340006674,0.9364321608040201,0.7916666666666667,0.5204164998665333
F000012,0.0,0.35527638190954774,0.3194444444444444,0.6254627916220946
F000013,0.05968702202485132,0.7846733668341709,0.6805555555555556,0.6028481781725197
F000014,0.0,0.35527638190954774,0.375,0.5464532103585
F000015,0.5260506159308034,0.9871859296482413,0.8472222222222221,0.33678765702728175
F000016,0.43763894448893326,0.9701005025125629,0.8055555555555556,0.34694433324435553
F000017,0.3519409161410501,0.9477386934673366,0.736111111111111,0.24056261216234412
F000018,0.0,0.35527638190954774,0.26388888888888884,0.4110735718596873
F000019,0.15048400847344884,0.8311557788944723,0.6388888888888888,0.2545875386086578
F000020,0.16666666666666663,0.8492462311557789,0.6666666666666666,0.33333333333333337
F000021,0.0,0.35527638190954774,0.6666666666666666,0.6666666666666667
F000022,0.0,0.35527638190954774,0.4861111111111111,0.2926570486903539
F000023,0.0,0.35527638190954774,0.6666666666666666,0.6666666666666667
F000024,0.0,0.35527638190954774,0.20833333333333331,0.5204164998665333
F000025,0.0,0.35527638190954774,0.375,0.6614378277661477
F000026,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000027,0.0,0.35527638190954774,0.3194444444444444,0.6254627916220946
F000028,0.0,0.35527638190954774,0.6388888888888888,0.8552669065744807
F000029,0.11785136605074786,0.8060301507537688,0.736111111111111,0.7087417123429486
F000030,0.0,0.35527638190954774,0.3055555555555556,0.3469443332443555
F000031,0.5853276880479024,0.9934673366834171,0.8888888888888888,0.3849001794597506
F000032,0.0,0.35527638190954774,0.5972222222222222,0.5023094811118091
F000033,0.0,0.35527638190954774,0.041666666666666685,0.14433756729740646
F000034,0.0,0.35527638190954774,0.2361111111111111,0.4110735718596873
F000035,0.0,0.35527638190954774,0.4444444444444444,0.5091750772173156
F000036,0.0,0.35527638190954774,0.33333333333333337,0.6666666666666666
F000037,0.43763894448893326,0.9701005025125629,0.8055555555555556,0.34694433324435553
F000038,0.0,0.35527638190954774,0.26388888888888884,0.7087417123429485
F000039,0.16666666666666663,0.8492462311557789,0.6666666666666666,0.33333333333333337
F000040,1.0,0.999748743718593,1.0,0.0
F000041,0.0,0.35527638190954774,0.41666666666666663,0.4409585518440984
F000042,0.1564584167334001,0.8407035175879397,0.7083333333333334,0.5204164998665332
F000043,0.0,0.35527638190954774,0.33333333333333337,0.6666666666666666
F000044,0.5853276880479024,0.9934673366834171,0.8888888888888888,0.3849001794597506
F000045,0.009898589972417882,0.7160804020100503,0.6388888888888888,0.5357583756107198
F000046,0.11785136605074786,0.8060301507537688,0.736111111111111,0.7087417123429486
F000047,0.0,0.35527638190954774,0.33333333333333337,0.6666666666666666
F000048,0.41666666666666663,0.9655778894472362,0.75,0.16666666666666674
F000049,0.0,0.35527638190954774,0.2777777777777778,0.5091750772173156
F000050,0.0,0.35527638190954774,0.19444444444444442,0.3469443332443554
F000051,0.0,0.35527638190954774,0.4166666666666667,0.2886751345948129
F000052,0.2666854362923786,0.9085427135678392,0.7361111111111112,0.4110735718596873
F000053,0.0,0.35527638190954774,0.5138888888888888,0.5548606765399495
F000054,0.3009680169468978,0.9190954773869346,0.7777777777777778,0.5091750772173156
F000055,0.0,0.35527638190954774,0.625,0.5464532103585001
F000056,0.5853276880479024,0.9934673366834171,0.8888888888888888,0.3849001794597506
F000057,0.0,0.35527638190954774,0.2777777777777778,0.5091750772173156
F000058,0.0,0.35527638190954774,0.19444444444444442,0.3469443332443554
F000059,0.0,0.35527638190954774,0.2222222222222222,0.5091750772173156
F000060,0.0,0.35527638190954774,0.2222222222222222,0.5091750772173156
F000061,0.1732257047434905,0.8628140703517588,0.6805555555555556,0.3757708127352412
F000062,0.4510034825212683,0.9751256281407035,0.8194444444444444,0.3757708127352412
F000063,0.01800981821541575,0.7331658291457287,0.625,0.4639803635691685
F000064,0.0,0.35527638190954774,0.6527777777777778,0.6684005230842202
F000065,0.0,0.35527638190954774,0.19444444444444442,0.3469443332443554
F000066,0.7188194722444669,0.9969849246231156,0.9027777777777779,0.17347216662217768
F000067,0.16666666666666663,0.8492462311557789,0.6666666666666666,0.33333333333333337
F000068,0.0,0.35527638190954774,0.375,0.6614378277661477
F000069,0.0,0.35527638190954774,0.6666666666666666,0.6666666666666667
F000070,0.0,0.35527638190954774,0.4027777777777778,0.17347216662217774
F000071,0.0,0.35527638190954774,0.2361111111111111,0.4110735718596873
F000072,0.0,0.35527638190954774,0.625,0.6614378277661477
F000073,0.0,0.35527638190954774,0.33333333333333337,0.5773502691896258
F000074,0.052101231861607145,0.7761306532663317,0.6944444444444444,0.6735753140545634
F000075,0.30642702870564203,0.9263819095477387,0.7083333333333334,0.22047927592204927
F000076,0.0,0.35527638190954774,0.5416666666666666,0.36324157862838946
F000077,0.4730936953723087,0.9796482412060301,0.7916666666666667,0.22047927592204927
F000078,0.21541672226671116,0.8881909547738693,0.6944444444444444,0.3469443332443555
F000079,0.0,0.35527638190954774,0.15277777777777773,0.33678765702728164
F000080,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000081,0.32224099184793414,0.9311557788944723,0.7638888888888888,0.4110735718596873
F000082,0.21541672226671116,0.8881909547738693,0.6944444444444444,0.3469443332443555
F000083,0.15048400847344884,0.8311557788944723,0.6388888888888888,0.2545875386086578
F000084,0.014886066246173488,0.7268844221105528,0.5555555555555556,0.1924500897298752
F000085,0.34077636645642,0.9424623115577889,0.6944444444444444,0.09622504486493767
F000086,0.0,0.35527638190954774,0.6111111111111112,0.693888666488711
F000087,0.0,0.35527638190954774,0.3888888888888889,0.19245008972987526
F000088,0.0,0.35527638190954774,0.26388888888888884,0.4110735718596873
F000089,0.0,0.35527638190954774,0.29166666666666663,0.22047927592204927
F000090,0.0,0.35527638190954774,0.5138888888888888,0.5548606765399495
F000091,0.0,0.35527638190954774,0.3194444444444444,0.6254627916220946
F000092,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000093,0.009898589972417882,0.7160804020100503,0.6388888888888888,0.5357583756107198
F000094,0.49999999999999994,0.9844221105527639,0.8333333333333333,0.33333333333333337
F000095,0.044658198738520394,0.7555276381909548,0.6666666666666666,0.5773502691896258
F000096,0.0,0.35527638190954774,0.6666666666666666,0.6666666666666667
F000097,0.0,0.35527638190954774,0.6527777777777778,0.6684005230842202
F000098,0.0,0.35527638190954774,0.3472222222222222,0.3367876570272817
F000099,0.3519409161410501,0.9477386934673366,0.736111111111111,0.24056261216234412
F000100,0.36310546582568015,0.9542713567839196,0.7777777777777777,0.3849001794597506
F000101,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000102,0.0,0.35527638190954774,0.41666666666666663,0.4409585518440984
F000103,0.15048400847344884,0.8311557788944723,0.6388888888888888,0.2545875386086578
F000104,0.0,0.35527638190954774,0.4444444444444444,0.1924500897298753
F000105,0.30642702870564203,0.9263819095477387,0.7083333333333334,0.22047927592204927
F000106,0.0,0.35527638190954774,0.3194444444444444,0.37577081273524116
F000107,0.0,0.35527638190954774,0.36111111111111105,0.5357583756107197
F000108,0.009898589972417882,0.7160804020100503,0.6388888888888888,0.5357583756107198
F000109,0.10770836113335558,0.800502512562814,0.5972222222222222,0.17347216662217768
F000110,0.0,0.35527638190954774,0.33333333333333337,0.33333333333333337
F000111,0.0,0.35527638190954774,0.6111111111111112,0.693888666488711
F000112,0.0,0.35527638190954774,0.40277777777777773,0.5023094811118091
F000113,0.16666666666666663,0.8492462311557789,0.6666666666666666,0.33333333333333337
F000114,0.43763894448893326,0.9701005025125629,0.8055555555555556,0.34694433324435553
F000115,0.0,0.35527638190954774,0.16666666666666669,0.3333333333333333
F000116,0.0,0.35527638190954774,0.41666666666666663,0.4409585518440984
F000117,0.0,0.35527638190954774,0.16666666666666669,0.5773502691896258
F000118,0.41666666666666663,0.9655778894472362,0.75,0.16666666666666674
F000119,0.0,0.35527638190954774,0.3472222222222222,0.6684005230842202
F000120,0.0,0.35527638190954774,0.25,0.16666666666666669
F000121,0.36310546582568015,0.9542713567839196,0.7777777777777777,0.3849001794597506
F000122,0.0,0.35527638190954774,0.5972222222222222,0.5023094811118091
F000123,0.0,0.35527638190954774,0.2777777777777778,0.5091750772173156
F000124,0.0,0.35527638190954774,0.4722222222222222,0.4194352464039305
F000125,0.0,0.35527638190954774,0.4861111111111111,0.2926570486903539
F000126,0.0,0.35527638190954774,0.2222222222222222,0.5091750772173156
F000127,0.0,0.35527638190954774,0.20833333333333331,0.5204164998665333
F000128,0.0,0.35527638190954774,0.2777777777777778,0.5091750772173156
F000129,0.0,0.35527638190954774,0.3611111111111111,0.2545875386086578
F000130,0.0,0.35527638190954774,0.5833333333333333,0.4409585518440985
F000131,0.16666666666666663,0.8492462311557789,0.6666666666666666,0.33333333333333337
F000132,0.4730936953723087,0.9796482412060301,0.7916666666666667,0.22047927592204927
F000133,0.3009680169468978,0.9190954773869346,0.7777777777777778,0.5091750772173156
F000134,0.0,0.35527638190954774,0.26388888888888884,0.4110735718596873
F000135,0.0,0.35527638190954774,0.41666666666666663,0.4409585518440984
F000136,0.0,0.35527638190954774,0.5555555555555556,0.5091750772173156
F000137,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000138,0.0,0.35527638190954774,0.6111111111111112,0.693888666488711
F000139,0.0,0.35527638190954774,0.5277777777777778,0.6309898162000304
F000140,0.0,0.35527638190954774,0.3194444444444444,0.37577081273524116
F000141,0.0,0.35527638190954774,0.4444444444444444,1.0183501544346312
F000142,0.0,0.35527638190954774,0.1111111111111111,0.3849001794597505
F000143,0.0,0.35527638190954774,0.33333333333333337,0.6666666666666666
F000144,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000145,0.25,0.8997487437185929,0.75,0.5
F000146,0.0,0.35527638190954774,0.4166666666666667,0.2886751345948129
F000147,0.3009680169468978,0.9190954773869346,0.7777777777777778,0.5091750772173156
F000148,0.0,0.35527638190954774,0.2777777777777778,0.3849001794597505
F000149,0.0,0.35527638190954774,0.29166666666666663,0.22047927592204927
F000150,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000151,0.0,0.35527638190954774,0.33333333333333326,0.6666666666666666
F000152,0.0,0.35527638190954774,0.5833333333333334,0.7637626158259733
F000153,0.0,0.35527638190954774,0.29166666666666663,0.22047927592204924
F000154,0.01800981821541575,0.7331658291457287,0.625,0.4639803635691685
F000155,0.0,0.35527638190954774,0.5972222222222222,0.8347210667398177
F000156,0.0,0.35527638190954774,0.25,0.5
F000157,0.21541672226671116,0.8881909547738693,0.6944444444444444,0.3469443332443555
F000158,0.0,0.35527638190954774,0.4583333333333333,0.3632415786283894
F000159,0.052101231861607145,0.7761306532663317,0.6944444444444444,0.6735753140545634
F000160,0.25,0.8997487437185929,0.75,0.5
F000161,0.0,0.35527638190954774,0.26388888888888884,0.7087417123429485
F000162,0.0,0.35527638190954774,0.625,0.5464532103585001
F000163,0.029772132492346948,0.7414572864321608,0.6111111111111112,0.3849001794597506
F000164,0.25,0.8997487437185929,0.75,0.5
F000165,0.0,0.35527638190954774,0.33333333333333337,0.33333333333333337
F000166,0.0,0.35527638190954774,0.25,0.5
F000167,0.0,0.35527638190954774,0.3472222222222222,0.3367876570272817
F000168,0.0,0.35527638190954774,0.3888888888888889,0.19245008972987526
F000169,0.0,0.35527638190954774,0.625,1.0897247358851685
F000170,0.0,0.35527638190954774,0.4027777777777778,0.17347216662217774
F000171,0.0,0.35527638190954774,0.5833333333333333,0.44095855184409843
F000172,0.0483797153000638,0.7670854271356784,0.6805555555555556,0.6254627916220946
F000173,0.0,0.35527638190954774,0.2777777777777778,0.3849001794597505
F000174,0.0,0.35527638190954774,0.4305555555555555,0.47385339192311066
F000175,0.32224099184793414,0.9311557788944723,0.7638888888888888,0.4110735718596873
F000176,0.0,0.35527638190954774,0.26388888888888884,0.7087417123429485
F000177,0.0,0.35527638190954774,0.1111111111111111,0.3849001794597505
F000178,0.0,0.35527638190954774,0.3194444444444444,0.6254627916220945
F000179,0.14857832784080438,0.8226130653266331,0.7361111111111112,0.6472877887628358
F000180,0.0,0.35527638190954774,0.6527777777777778,0.6684005230842202
F000181,0.0,0.35527638190954774,0.2222222222222222,0.769800358919501
F000182,0.0,0.35527638190954774,0.2361111111111111,0.4110735718596873
F000183,0.0,0.35527638190954774,0.4166666666666667,0.726483157256779
F000184,0.0,0.35527638190954774,0.4305555555555555,0.7280745790045088
F000185,0.4730936953723087,0.9796482412060301,0.7916666666666667,0.22047927592204927
F000186,0.0,0.35527638190954774,0.5555555555555556,0.5091750772173156
F000187,0.0,0.35527638190954774,0.08333333333333331,0.28867513459481287
F000188,0.009898589972417882,0.7160804020100503,0.6388888888888888,0.5357583756107198
F000189,0.0,0.35527638190954774,0.29166666666666663,0.22047927592204927
F000190,0.044658198738520394,0.7555276381909548,0.6666666666666666,0.5773502691896258
F000191,0.0,0.35527638190954774,0.4583333333333333,0.14433756729740646
F000192,0.0,0.35527638190954774,0.6666666666666666,0.6666666666666667
F000193,0.17322570474349053,0.8650753768844222,0.6805555555555556,0.37577081273524116
F000194,0.0,0.35527638190954774,0.375,0.5464532103585
F000195,0.25,0.8997487437185929,0.75,0.5
F000196,0.0,0.35527638190954774,0.4444444444444444,0.9622504486493764
F000197,0.0,0.35527638190954774,0.25,0.16666666666666669
F000198,0.18985690583578663,0.8753768844221106,0.7222222222222222,0.5091750772173156
F000199,0.0,0.35527638190954774,0.16666666666666669,0.5773502691896258
F000200,0.0,0.35527638190954774,0.6111111111111112,0.693888666488711
F000201,0.0,0.35527638190954774,0.4305555555555555,0.7280745790045088
F000202,0.0,0.35527638190954774,0.16666666666666669,0.5773502691896258
F000203,0.43763894448893326,0.9701005025125629,0.8055555555555556,0.34694433324435553
F000204,0.0,0.35527638190954774,0.22222222222222215,0.3849001794597505
F000205,0.15048400847344884,0.8311557788944723,0.6388888888888888,0.2545875386086578
F000206,0.43763894448893326,0.9701005025125629,0.8055555555555556,0.34694433324435553
F000207,0.0,0.35527638190954774,0.3194444444444444,0.37577081273524116
F000208,0.0,0.35527638190954774,0.3194444444444444,0.6254627916220946
F000209,0.0,0.35527638190954774,0.20833333333333331,0.5204164998665333
F000210,0.0,0.35527638190954774,0.15277777777777773,0.33678765702728164
F000211,0.0,0.35527638190954774,0.375,0.7949493345141214
F000212,0.1564584167334001,0.8407035175879397,0.7083333333333334,0.5204164998665332
F000213,0.0,0.35527638190954774,0.2777777777777778,0.5091750772173156
F000214,0.0,0.35527638190954774,0.15277777777777773,0.33678765702728164
F000215,0.11785136605074786,0.8060301507537688,0.736111111111111,0.7087417123429486
F000216,0.0,0.35527638190954774,0.26388888888888884,0.4110735718596873
F000217,0.0,0.35527638190954774,0.29166666666666663,0.5204164998665332
